module_category,component_category,year,month
M3,P05,2011,5
M3,P05,2011,6
M3,P05,2011,7
M3,P06,2010,1
M3,P06,2010,2
M3,P06,2010,3
M3,P06,2010,4
M3,P06,2010,5
M3,P06,2010,6
M3,P06,2010,7
M3,P06,2010,8
M3,P06,2010,9
M3,P06,2010,10
M3,P06,2010,11
M3,P06,2010,12
M3,P06,2011,1
M3,P06,2011,2
M3,P06,2011,3
M3,P06,2011,4
M3,P06,2011,5
M3,P06,2011,6
M3,P06,2011,7
M3,P09,2010,1
M3,P09,2010,2
M3,P09,2010,3
M3,P09,2010,4
M3,P09,2010,5
M3,P09,2010,6
M3,P09,2010,7
M3,P09,2010,8
M3,P09,2010,9
M3,P09,2010,10
M3,P09,2010,11
M3,P09,2010,12
M3,P09,2011,1
M3,P09,2011,2
M3,P09,2011,3
M3,P09,2011,4
M3,P09,2011,5
M3,P09,2011,6
M3,P09,2011,7
M3,P10,2010,1
M3,P10,2010,2
M3,P10,2010,3
M3,P10,2010,4
M3,P10,2010,5
M3,P10,2010,6
M3,P10,2010,7
M3,P10,2010,8
M3,P10,2010,9
M3,P10,2010,10
M3,P10,2010,11
M3,P10,2010,12
M3,P10,2011,1
M3,P10,2011,2
M3,P10,2011,3
M3,P10,2011,4
M3,P10,2011,5
M3,P10,2011,6
M3,P10,2011,7
M3,P11,2010,1
M3,P11,2010,2
M3,P11,2010,3
M3,P11,2010,4
M3,P11,2010,5
M3,P11,2010,6
M3,P11,2010,7
M3,P11,2010,8
M3,P11,2010,9
M3,P11,2010,10
M3,P11,2010,11
M3,P11,2010,12
M3,P11,2011,1
M3,P11,2011,2
M3,P11,2011,3
M3,P11,2011,4
M3,P11,2011,5
M3,P11,2011,6
M3,P11,2011,7
M3,P12,2010,1
M3,P12,2010,2
M3,P12,2010,3
M3,P12,2010,4
M3,P12,2010,5
M3,P12,2010,6
M3,P12,2010,7
M3,P12,2010,8
M3,P12,2010,9
M3,P12,2010,10
M3,P12,2010,11
M3,P12,2010,12
M3,P12,2011,1
M3,P12,2011,2
M3,P12,2011,3
M3,P12,2011,4
M3,P12,2011,5
M3,P12,2011,6
M3,P12,2011,7
M3,P13,2010,1
M3,P13,2010,2
M3,P13,2010,3
M3,P13,2010,4
M3,P13,2010,5
M3,P13,2010,6
M3,P13,2010,7
M3,P13,2010,8
M3,P13,2010,9
M3,P13,2010,10
M3,P13,2010,11
M3,P13,2010,12
M3,P13,2011,1
M3,P13,2011,2
M3,P13,2011,3
M3,P13,2011,4
M3,P13,2011,5
M3,P13,2011,6
M3,P13,2011,7
M3,P15,2010,1
M3,P15,2010,2
M3,P15,2010,3
M3,P15,2010,4
M3,P15,2010,5
M3,P15,2010,6
M3,P15,2010,7
M3,P15,2010,8
M3,P15,2010,9
M3,P15,2010,10
M3,P15,2010,11
M3,P15,2010,12
M3,P15,2011,1
M3,P15,2011,2
M3,P15,2011,3
M3,P15,2011,4
M3,P15,2011,5
M3,P15,2011,6
M3,P15,2011,7
M3,P16,2010,1
M3,P16,2010,2
M3,P16,2010,3
M3,P16,2010,4
M3,P16,2010,5
M3,P16,2010,6
M3,P16,2010,7
M3,P16,2010,8
M3,P16,2010,9
M3,P16,2010,10
M3,P16,2010,11
M3,P16,2010,12
M3,P16,2011,1
M3,P16,2011,2
M3,P16,2011,3
M3,P16,2011,4
M3,P16,2011,5
M3,P16,2011,6
M3,P16,2011,7
M3,P17,2010,1
M3,P17,2010,2
M3,P17,2010,3
M3,P17,2010,4
M3,P17,2010,5
M3,P17,2010,6
M3,P17,2010,7
M3,P17,2010,8
M3,P17,2010,9
M3,P17,2010,10
M3,P17,2010,11
M3,P17,2010,12
M3,P17,2011,1
M3,P17,2011,2
M3,P17,2011,3
M3,P17,2011,4
M3,P17,2011,5
M3,P17,2011,6
M3,P17,2011,7
M3,P18,2010,1
M3,P18,2010,2
M3,P18,2010,3
M3,P18,2010,4
M3,P18,2010,5
M3,P18,2010,6
M3,P18,2010,7
M3,P18,2010,8
M3,P18,2010,9
M3,P18,2010,10
M3,P18,2010,11
M3,P18,2010,12
M3,P18,2011,1
M3,P18,2011,2
M3,P18,2011,3
M3,P18,2011,4
M3,P18,2011,5
M3,P18,2011,6
M3,P18,2011,7
M3,P19,2010,1
M3,P19,2010,2
M3,P19,2010,3
M3,P19,2010,4
M3,P19,2010,5
M3,P19,2010,6
M3,P19,2010,7
M3,P19,2010,8
M3,P19,2010,9
M3,P19,2010,10
M3,P19,2010,11
M3,P19,2010,12
M3,P19,2011,1
M3,P19,2011,2
M3,P19,2011,3
M3,P19,2011,4
M3,P19,2011,5
M3,P19,2011,6
M3,P19,2011,7
M3,P20,2010,1
M3,P20,2010,2
M3,P20,2010,3
M3,P20,2010,4
M3,P20,2010,5
M3,P20,2010,6
M3,P20,2010,7
M3,P20,2010,8
M3,P20,2010,9
M3,P20,2010,10
M3,P20,2010,11
M3,P20,2010,12
M3,P20,2011,1
M3,P20,2011,2
M3,P20,2011,3
M3,P20,2011,4
M3,P20,2011,5
M3,P20,2011,6
M3,P20,2011,7
M3,P21,2010,1
M3,P21,2010,2
M3,P21,2010,3
M3,P21,2010,4
M3,P21,2010,5
M3,P21,2010,6
M3,P21,2010,7
M3,P21,2010,8
M3,P21,2010,9
M3,P21,2010,10
M3,P21,2010,11
M3,P21,2010,12
M3,P21,2011,1
M3,P21,2011,2
M3,P21,2011,3
M3,P21,2011,4
M3,P21,2011,5
M3,P21,2011,6
M3,P21,2011,7
M3,P22,2010,1
M3,P22,2010,2
M3,P22,2010,3
M3,P22,2010,4
M3,P22,2010,5
M3,P22,2010,6
M3,P22,2010,7
M3,P22,2010,8
M3,P22,2010,9
M3,P22,2010,10
M3,P22,2010,11
M3,P22,2010,12
M3,P22,2011,1
M3,P22,2011,2
M3,P22,2011,3
M3,P22,2011,4
M3,P22,2011,5
M3,P22,2011,6
M3,P22,2011,7
M3,P23,2010,1
M3,P23,2010,2
M3,P23,2010,3
M3,P23,2010,4
M3,P23,2010,5
M3,P23,2010,6
M3,P23,2010,7
M3,P23,2010,8
M3,P23,2010,9
M3,P23,2010,10
M3,P23,2010,11
M3,P23,2010,12
M3,P23,2011,1
M3,P23,2011,2
M3,P23,2011,3
M3,P23,2011,4
M3,P23,2011,5
M3,P23,2011,6
M3,P23,2011,7
M3,P24,2010,1
M3,P24,2010,2
M3,P24,2010,3
M3,P24,2010,4
M3,P24,2010,5
M3,P24,2010,6
M3,P24,2010,7
M3,P24,2010,8
M3,P24,2010,9
M3,P24,2010,10
M3,P24,2010,11
M3,P24,2010,12
M3,P24,2011,1
M3,P24,2011,2
M3,P24,2011,3
M3,P24,2011,4
M3,P24,2011,5
M3,P24,2011,6
M3,P24,2011,7
M3,P25,2010,1
M3,P25,2010,2
M3,P25,2010,3
M3,P25,2010,4
M3,P25,2010,5
M3,P25,2010,6
M3,P25,2010,7
M3,P25,2010,8
M3,P25,2010,9
M3,P25,2010,10
M3,P25,2010,11
M3,P25,2010,12
M3,P25,2011,1
M3,P25,2011,2
M3,P25,2011,3
M3,P25,2011,4
M3,P25,2011,5
M3,P25,2011,6
M3,P25,2011,7
M3,P26,2010,1
M3,P26,2010,2
M3,P26,2010,3
M3,P26,2010,4
M3,P26,2010,5
M3,P26,2010,6
M3,P26,2010,7
M3,P26,2010,8
M3,P26,2010,9
M3,P26,2010,10
M3,P26,2010,11
M3,P26,2010,12
M3,P26,2011,1
M3,P26,2011,2
M3,P26,2011,3
M3,P26,2011,4
M3,P26,2011,5
M3,P26,2011,6
M3,P26,2011,7
M3,P27,2010,1
M3,P27,2010,2
M3,P27,2010,3
M3,P27,2010,4
M3,P27,2010,5
M3,P27,2010,6
M3,P27,2010,7
M3,P27,2010,8
M3,P27,2010,9
M3,P27,2010,10
M3,P27,2010,11
M3,P27,2010,12
M3,P27,2011,1
M3,P27,2011,2
M3,P27,2011,3
M3,P27,2011,4
M3,P27,2011,5
M3,P27,2011,6
M3,P27,2011,7
M3,P28,2010,1
M3,P28,2010,2
M3,P28,2010,3
M3,P28,2010,4
M3,P28,2010,5
M3,P28,2010,6
M3,P28,2010,7
M3,P28,2010,8
M3,P28,2010,9
M3,P28,2010,10
M3,P28,2010,11
M3,P28,2010,12
M3,P28,2011,1
M3,P28,2011,2
M3,P28,2011,3
M3,P28,2011,4
M3,P28,2011,5
M3,P28,2011,6
M3,P28,2011,7
M3,P30,2010,1
M3,P30,2010,2
M3,P30,2010,3
M3,P30,2010,4
M3,P30,2010,5
M3,P30,2010,6
M3,P30,2010,7
M3,P30,2010,8
M3,P30,2010,9
M3,P30,2010,10
M3,P30,2010,11
M3,P30,2010,12
M3,P30,2011,1
M3,P30,2011,2
M3,P30,2011,3
M3,P30,2011,4
M3,P30,2011,5
M3,P30,2011,6
M3,P30,2011,7
M3,P31,2010,1
M3,P31,2010,2
M3,P31,2010,3
M3,P31,2010,4
M3,P31,2010,5
M3,P31,2010,6
M3,P31,2010,7
M3,P31,2010,8
M3,P31,2010,9
M3,P31,2010,10
M3,P31,2010,11
M3,P31,2010,12
M3,P31,2011,1
M3,P31,2011,2
M3,P31,2011,3
M3,P31,2011,4
M3,P31,2011,5
M3,P31,2011,6
M3,P31,2011,7
M4,P01,2010,1
M4,P01,2010,2
M4,P01,2010,3
M4,P01,2010,4
M4,P01,2010,5
M4,P01,2010,6
M4,P01,2010,7
M4,P01,2010,8
M4,P01,2010,9
M4,P01,2010,10
M4,P01,2010,11
M4,P01,2010,12
M4,P01,2011,1
M4,P01,2011,2
M4,P01,2011,3
M4,P01,2011,4
M4,P01,2011,5
M4,P01,2011,6
M4,P01,2011,7
M4,P02,2010,1
M4,P02,2010,2
M4,P02,2010,3
M4,P02,2010,4
M4,P02,2010,5
M4,P02,2010,6
M4,P02,2010,7
M4,P02,2010,8
M4,P02,2010,9
M4,P02,2010,10
M4,P02,2010,11
M4,P02,2010,12
M4,P02,2011,1
M4,P02,2011,2
M4,P02,2011,3
M4,P02,2011,4
M4,P02,2011,5
M4,P02,2011,6
M4,P02,2011,7
M4,P04,2010,1
M4,P04,2010,2
M4,P04,2010,3
M4,P04,2010,4
M4,P04,2010,5
M4,P04,2010,6
M4,P04,2010,7
M4,P04,2010,8
M4,P04,2010,9
M4,P04,2010,10
M4,P04,2010,11
M4,P04,2010,12
M4,P04,2011,1
M4,P04,2011,2
M4,P04,2011,3
M4,P04,2011,4
M4,P04,2011,5
M4,P04,2011,6
M4,P04,2011,7
M4,P05,2010,1
M4,P05,2010,2
M4,P05,2010,3
M4,P05,2010,4
M4,P05,2010,5
M4,P05,2010,6
M4,P05,2010,7
M4,P05,2010,8
M4,P05,2010,9
M4,P05,2010,10
M4,P05,2010,11
M4,P05,2010,12
M4,P05,2011,1
M4,P05,2011,2
M4,P05,2011,3
M4,P05,2011,4
M4,P05,2011,5
M4,P05,2011,6
M4,P05,2011,7
M4,P06,2010,1
M4,P06,2010,2
M4,P06,2010,3
M4,P06,2010,4
M4,P06,2010,5
M4,P06,2010,6
M4,P06,2010,7
M4,P06,2010,8
M4,P06,2010,9
M4,P06,2010,10
M4,P06,2010,11
M4,P06,2010,12
M4,P06,2011,1
M4,P06,2011,2
M4,P06,2011,3
M4,P06,2011,4
M4,P06,2011,5
M4,P06,2011,6
M4,P06,2011,7
M4,P09,2010,1
M4,P09,2010,2
M4,P09,2010,3
M4,P09,2010,4
M4,P09,2010,5
M4,P09,2010,6
M4,P09,2010,7
M4,P09,2010,8
M4,P09,2010,9
M4,P09,2010,10
M4,P09,2010,11
M4,P09,2010,12
M4,P09,2011,1
M4,P09,2011,2
M4,P09,2011,3
M4,P09,2011,4
M4,P09,2011,5
M4,P09,2011,6
M4,P09,2011,7
M4,P10,2010,1
M4,P10,2010,2
M4,P10,2010,3
M4,P10,2010,4
M4,P10,2010,5
M4,P10,2010,6
M4,P10,2010,7
M4,P10,2010,8
M4,P10,2010,9
M4,P10,2010,10
M4,P10,2010,11
M4,P10,2010,12
M4,P10,2011,1
M4,P10,2011,2
M4,P10,2011,3
M4,P10,2011,4
M4,P10,2011,5
M4,P10,2011,6
M4,P10,2011,7
M4,P11,2010,1
M4,P11,2010,2
M4,P11,2010,3
M4,P11,2010,4
M4,P11,2010,5
M4,P11,2010,6
M4,P11,2010,7
M4,P11,2010,8
M4,P11,2010,9
M4,P11,2010,10
M4,P11,2010,11
M4,P11,2010,12
M4,P11,2011,1
M4,P11,2011,2
M4,P11,2011,3
M4,P11,2011,4
M4,P11,2011,5
M4,P11,2011,6
M4,P11,2011,7
M4,P12,2010,1
M4,P12,2010,2
M4,P12,2010,3
M4,P12,2010,4
M4,P12,2010,5
M4,P12,2010,6
M4,P12,2010,7
M4,P12,2010,8
M4,P12,2010,9
M4,P12,2010,10
M4,P12,2010,11
M4,P12,2010,12
M4,P12,2011,1
M4,P12,2011,2
M4,P12,2011,3
M4,P12,2011,4
M4,P12,2011,5
M4,P12,2011,6
M4,P12,2011,7
M4,P13,2010,1
M4,P13,2010,2
M4,P13,2010,3
M4,P13,2010,4
M4,P13,2010,5
M4,P13,2010,6
M4,P13,2010,7
M4,P13,2010,8
M4,P13,2010,9
M4,P13,2010,10
M4,P13,2010,11
M4,P13,2010,12
M4,P13,2011,1
M4,P13,2011,2
M4,P13,2011,3
M4,P13,2011,4
M4,P13,2011,5
M4,P13,2011,6
M4,P13,2011,7
M4,P15,2010,1
M4,P15,2010,2
M4,P15,2010,3
M4,P15,2010,4
M4,P15,2010,5
M4,P15,2010,6
M4,P15,2010,7
M4,P15,2010,8
M4,P15,2010,9
M4,P15,2010,10
M4,P15,2010,11
M4,P15,2010,12
M4,P15,2011,1
M4,P15,2011,2
M4,P15,2011,3
M4,P15,2011,4
M4,P15,2011,5
M4,P15,2011,6
M4,P15,2011,7
M4,P16,2010,1
M4,P16,2010,2
M4,P16,2010,3
M4,P16,2010,4
M4,P16,2010,5
M4,P16,2010,6
M4,P16,2010,7
M4,P16,2010,8
M4,P16,2010,9
M4,P16,2010,10
M4,P16,2010,11
M4,P16,2010,12
M4,P16,2011,1
M4,P16,2011,2
M4,P16,2011,3
M4,P16,2011,4
M4,P16,2011,5
M4,P16,2011,6
M4,P16,2011,7
M4,P17,2010,1
M4,P17,2010,2
M4,P17,2010,3
M4,P17,2010,4
M4,P17,2010,5
M4,P17,2010,6
M4,P17,2010,7
M4,P17,2010,8
M4,P17,2010,9
M4,P17,2010,10
M4,P17,2010,11
M4,P17,2010,12
M4,P17,2011,1
M4,P17,2011,2
M4,P17,2011,3
M4,P17,2011,4
M4,P17,2011,5
M4,P17,2011,6
M4,P17,2011,7
M4,P19,2010,1
M4,P19,2010,2
M4,P19,2010,3
M4,P19,2010,4
M4,P19,2010,5
M4,P19,2010,6
M4,P19,2010,7
M4,P19,2010,8
M4,P19,2010,9
M4,P19,2010,10
M4,P19,2010,11
M4,P19,2010,12
M4,P19,2011,1
M4,P19,2011,2
M4,P19,2011,3
M4,P19,2011,4
M4,P19,2011,5
M4,P19,2011,6
M4,P19,2011,7
M4,P20,2010,1
M4,P20,2010,2
M4,P20,2010,3
M4,P20,2010,4
M4,P20,2010,5
M4,P20,2010,6
M4,P20,2010,7
M4,P20,2010,8
M4,P20,2010,9
M4,P20,2010,10
M4,P20,2010,11
M4,P20,2010,12
M4,P20,2011,1
M4,P20,2011,2
M4,P20,2011,3
M4,P20,2011,4
M4,P20,2011,5
M4,P20,2011,6
M4,P20,2011,7
M4,P21,2010,1
M4,P21,2010,2
M4,P21,2010,3
M4,P21,2010,4
M4,P21,2010,5
M4,P21,2010,6
M4,P21,2010,7
M4,P21,2010,8
M4,P21,2010,9
M4,P21,2010,10
M4,P21,2010,11
M4,P21,2010,12
M4,P21,2011,1
M4,P21,2011,2
M4,P21,2011,3
M4,P21,2011,4
M4,P21,2011,5
M4,P21,2011,6
M4,P21,2011,7
M4,P22,2010,1
M4,P22,2010,2
M4,P22,2010,3
M4,P22,2010,4
M4,P22,2010,5
M4,P22,2010,6
M4,P22,2010,7
M4,P22,2010,8
M4,P22,2010,9
M4,P22,2010,10
M4,P22,2010,11
M4,P22,2010,12
M4,P22,2011,1
M4,P22,2011,2
M4,P22,2011,3
M4,P22,2011,4
M4,P22,2011,5
M4,P22,2011,6
M4,P22,2011,7
M4,P24,2010,1
M4,P24,2010,2
M4,P24,2010,3
M4,P24,2010,4
M4,P24,2010,5
M4,P24,2010,6
M4,P24,2010,7
M4,P24,2010,8
M4,P24,2010,9
M4,P24,2010,10
M4,P24,2010,11
M4,P24,2010,12
M4,P24,2011,1
M4,P24,2011,2
M4,P24,2011,3
M4,P24,2011,4
M4,P24,2011,5
M4,P24,2011,6
M4,P24,2011,7
M4,P25,2010,1
M4,P25,2010,2
M4,P25,2010,3
M4,P25,2010,4
M4,P25,2010,5
M4,P25,2010,6
M4,P25,2010,7
M4,P25,2010,8
M4,P25,2010,9
M4,P25,2010,10
M4,P25,2010,11
M4,P25,2010,12
M4,P25,2011,1
M4,P25,2011,2
M4,P25,2011,3
M4,P25,2011,4
M4,P25,2011,5
M4,P25,2011,6
M4,P25,2011,7
M4,P26,2010,1
M4,P26,2010,2
M4,P26,2010,3
M4,P26,2010,4
M4,P26,2010,5
M4,P26,2010,6
M4,P26,2010,7
M4,P26,2010,8
M4,P26,2010,9
M4,P26,2010,10
M4,P26,2010,11
M4,P26,2010,12
M4,P26,2011,1
M4,P26,2011,2
M4,P26,2011,3
M4,P26,2011,4
M4,P26,2011,5
M4,P26,2011,6
M4,P26,2011,7
M4,P27,2010,1
M4,P27,2010,2
M4,P27,2010,3
M4,P27,2010,4
M4,P27,2010,5
M4,P27,2010,6
M4,P27,2010,7
M4,P27,2010,8
M4,P27,2010,9
M4,P27,2010,10
M4,P27,2010,11
M4,P27,2010,12
M4,P27,2011,1
M4,P27,2011,2
M4,P27,2011,3
M4,P27,2011,4
M4,P27,2011,5
M4,P27,2011,6
M4,P27,2011,7
M4,P28,2010,1
M4,P28,2010,2
M4,P28,2010,3
M4,P28,2010,4
M4,P28,2010,5
M4,P28,2010,6
M4,P28,2010,7
M4,P28,2010,8
M4,P28,2010,9
M4,P28,2010,10
M4,P28,2010,11
M4,P28,2010,12
M4,P28,2011,1
M4,P28,2011,2
M4,P28,2011,3
M4,P28,2011,4
M4,P28,2011,5
M4,P28,2011,6
M4,P28,2011,7
M4,P30,2010,1
M4,P30,2010,2
M4,P30,2010,3
M4,P30,2010,4
M4,P30,2010,5
M4,P30,2010,6
M4,P30,2010,7
M4,P30,2010,8
M4,P30,2010,9
M4,P30,2010,10
M4,P30,2010,11
M4,P30,2010,12
M4,P30,2011,1
M4,P30,2011,2
M4,P30,2011,3
M4,P30,2011,4
M4,P30,2011,5
M4,P30,2011,6
M4,P30,2011,7
M4,P31,2010,1
M4,P31,2010,2
M4,P31,2010,3
M4,P31,2010,4
M4,P31,2010,5
M4,P31,2010,6
M4,P31,2010,7
M4,P31,2010,8
M4,P31,2010,9
M4,P31,2010,10
M4,P31,2010,11
M4,P31,2010,12
M4,P31,2011,1
M4,P31,2011,2
M4,P31,2011,3
M4,P31,2011,4
M4,P31,2011,5
M4,P31,2011,6
M4,P31,2011,7
M5,P01,2010,1
M5,P01,2010,2
M5,P01,2010,3
M5,P01,2010,4
M5,P01,2010,5
M5,P01,2010,6
M5,P01,2010,7
M5,P01,2010,8
M5,P01,2010,9
M5,P01,2010,10
M5,P01,2010,11
M5,P01,2010,12
M5,P01,2011,1
M5,P01,2011,2
M5,P01,2011,3
M5,P01,2011,4
M5,P01,2011,5
M5,P01,2011,6
M5,P01,2011,7
M5,P02,2010,1
M5,P02,2010,2
M5,P02,2010,3
M5,P02,2010,4
M5,P02,2010,5
M5,P02,2010,6
M5,P02,2010,7
M5,P02,2010,8
M5,P02,2010,9
M5,P02,2010,10
M5,P02,2010,11
M5,P02,2010,12
M5,P02,2011,1
M5,P02,2011,2
M5,P02,2011,3
M5,P02,2011,4
M5,P02,2011,5
M5,P02,2011,6
M5,P02,2011,7
M5,P04,2010,1
M5,P04,2010,2
M5,P04,2010,3
M5,P04,2010,4
M5,P04,2010,5
M5,P04,2010,6
M5,P04,2010,7
M5,P04,2010,8
M5,P04,2010,9
M5,P04,2010,10
M5,P04,2010,11
M5,P04,2010,12
M5,P04,2011,1
M5,P04,2011,2
M5,P04,2011,3
M5,P04,2011,4
M5,P04,2011,5
M5,P04,2011,6
M5,P04,2011,7
M5,P05,2010,1
M5,P05,2010,2
M5,P05,2010,3
M5,P05,2010,4
M5,P05,2010,5
M5,P05,2010,6
M5,P05,2010,7
M5,P05,2010,8
M5,P05,2010,9
M5,P05,2010,10
M5,P05,2010,11
M5,P05,2010,12
M5,P05,2011,1
M5,P05,2011,2
M5,P05,2011,3
M5,P05,2011,4
M5,P05,2011,5
M5,P05,2011,6
M5,P05,2011,7
M5,P06,2010,1
M5,P06,2010,2
M5,P06,2010,3
M5,P06,2010,4
M5,P06,2010,5
M5,P06,2010,6
M5,P06,2010,7
M5,P06,2010,8
M5,P06,2010,9
M5,P06,2010,10
M5,P06,2010,11
M5,P06,2010,12
M5,P06,2011,1
M5,P06,2011,2
M5,P06,2011,3
M5,P06,2011,4
M5,P06,2011,5
M5,P06,2011,6
M5,P06,2011,7
M5,P09,2010,1
M5,P09,2010,2
M5,P09,2010,3
M5,P09,2010,4
M5,P09,2010,5
M5,P09,2010,6
M5,P09,2010,7
M5,P09,2010,8
M5,P09,2010,9
M5,P09,2010,10
M5,P09,2010,11
M5,P09,2010,12
M5,P09,2011,1
M5,P09,2011,2
M5,P09,2011,3
M5,P09,2011,4
M5,P09,2011,5
M5,P09,2011,6
M5,P09,2011,7
M5,P10,2010,1
M5,P10,2010,2
M5,P10,2010,3
M5,P10,2010,4
M5,P10,2010,5
M5,P10,2010,6
M5,P10,2010,7
M5,P10,2010,8
M5,P10,2010,9
M5,P10,2010,10
M5,P10,2010,11
M5,P10,2010,12
M5,P10,2011,1
M5,P10,2011,2
M5,P10,2011,3
M5,P10,2011,4
M5,P10,2011,5
M5,P10,2011,6
M5,P10,2011,7
M5,P11,2010,1
M5,P11,2010,2
M5,P11,2010,3
M5,P11,2010,4
M5,P11,2010,5
M5,P11,2010,6
M5,P11,2010,7
M5,P11,2010,8
M5,P11,2010,9
M5,P11,2010,10
M5,P11,2010,11
M5,P11,2010,12
M5,P11,2011,1
M5,P11,2011,2
M5,P11,2011,3
M5,P11,2011,4
M5,P11,2011,5
M5,P11,2011,6
M5,P11,2011,7
M5,P12,2010,1
M5,P12,2010,2
M5,P12,2010,3
M5,P12,2010,4
M5,P12,2010,5
M5,P12,2010,6
M5,P12,2010,7
M5,P12,2010,8
M5,P12,2010,9
M5,P12,2010,10
M5,P12,2010,11
M5,P12,2010,12
M5,P12,2011,1
M5,P12,2011,2
M5,P12,2011,3
M5,P12,2011,4
M5,P12,2011,5
M5,P12,2011,6
M5,P12,2011,7
M5,P13,2010,1
M5,P13,2010,2
M5,P13,2010,3
M5,P13,2010,4
M5,P13,2010,5
M5,P13,2010,6
M5,P13,2010,7
M5,P13,2010,8
M5,P13,2010,9
M5,P13,2010,10
M5,P13,2010,11
M5,P13,2010,12
M5,P13,2011,1
M5,P13,2011,2
M5,P13,2011,3
M5,P13,2011,4
M5,P13,2011,5
